Block,GISJOIN,FIPS,ADI_NATRANK,ADI_STATERNK
139638,G35000100001071,350010001071,26,1
139639,G35000100001072,350010001072,32,1
139640,G35000100001081,350010001081,42,2
139641,G35000100001082,350010001082,43,2
139642,G35000100001091,350010001091,45,3
139643,G35000100001092,350010001092,41,2
139644,G35000100001101,350010001101,58,4
139645,G35000100001102,350010001102,51,3
139646,G35000100001103,350010001103,45,3
139647,G35000100001111,350010001111,43,2
139648,G35000100001112,350010001112,42,2
139649,G35000100001121,350010001121,42,2
139650,G35000100001122,350010001122,26,1
139651,G35000100001131,350010001131,50,3
139652,G35000100001132,350010001132,54,3
139653,G35000100001141,350010001141,67,5
139654,G35000100001142,350010001142,65,5
139655,G35000100001151,350010001151,63,5
139656,G35000100001152,350010001152,63,5
139657,G35000100001153,350010001153,63,5
139658,G35000100001161,350010001161,38,2
139659,G35000100001162,350010001162,53,3
139660,G35000100001171,350010001171,48,3
139661,G35000100001172,350010001172,45,3
139662,G35000100001181,350010001181,43,2
139663,G35000100001182,350010001182,42,2
139664,G35000100001191,350010001191,29,1
139665,G35000100001192,350010001192,37,2
139666,G35000100001201,350010001201,68,5
139667,G35000100001202,350010001202,40,2
139668,G35000100001211,350010001211,67,5
139669,G35000100001212,350010001212,62,4
139670,G35000100001213,350010001213,69,6
139671,G35000100001214,350010001214,63,5
139672,G35000100001215,350010001215,64,5
139673,G35000100001221,350010001221,50,3
139674,G35000100001222,350010001222,51,3
139675,G35000100001223,350010001223,49,3
139676,G35000100001224,350010001224,55,4
139677,G35000100001231,350010001231,62,4
139678,G35000100001232,350010001232,63,5
139679,G35000100001233,350010001233,60,4
139680,G35000100001234,350010001234,60,4
139681,G35000100001235,350010001235,52,3
139682,G35000100001241,350010001241,75,6
139683,G35000100001242,350010001242,74,6
139684,G35000100001243,350010001243,47,3
139685,G35000100001244,350010001244,66,5
139686,G35000100001251,350010001251,22,1
139687,G35000100001252,350010001252,34,2
139688,G35000100001253,350010001253,26,1
139689,G35000100001261,350010001261,55,4
139690,G35000100001262,350010001262,52,3
139691,G35000100001271,350010001271,63,5
139692,G35000100001272,350010001272,60,4
139693,G35000100001273,350010001273,56,4
139694,G35000100001281,350010001281,75,6
139695,G35000100001282,350010001282,77,7
