ZIP,ADI National Rank,ADI State Rank,Socioeconomic Status,Household Characteristics,Racial & Ethnic Minority Status,Housing Type & Transportation,Social Vulnerability Index,National Risk Index (FEMA),Social Vulnerability Score,Community Resilience Score,Longitude,Latitude,Miles to UMC
73001,91.5,8.5,0.44,0.57,0.47,0.32,0.43,47.385,49.90000153,15.47000027,-98.41651519,35.22620612,227.6227729
73002,66,3.666666667,0.26,0.38,0.32,0.5,0.33,85.4695,50.34000015,54,-97.73240841,34.96401213,255.197716
73003,61.6119205,3.785640955,0.427575916,0.233197457,0.391848168,0.471009349,0.365725131,59.76889223,49.35559577,34.88000107,-97.49692301,35.66952738,287.8068581
73005,87.35805099,7.467768538,0.515993021,0.385818544,0.543723829,0.463319043,0.477088734,68.00467998,60.48735403,15.47000027,-98.23762806,35.05437812,231.2493094
73006,86.87890001,7.460558406,0.489282225,0.351826323,0.595597015,0.497,0.476037992,70.75992024,59.3531015,15.47000027,-98.40584372,34.90587752,218.323287
73007,53.98812858,3.195811658,0.461832733,0.182240896,0.439455782,0.591340536,0.444209684,71.4028441,50.72891359,40.21978507,-97.32009424,35.69001081,297.2199584
73008,74.89242563,5.635554119,0.559559537,0.757236079,0.720862941,0.627277817,0.669863585,56.81937275,69.31870248,34.88000107,-97.64538198,35.51385854,275.3503356
73009,88.19448421,7.585976942,0.585989144,0.576743064,0.585702051,0.553738239,0.586161641,72.26894362,67.32201346,15.47000027,-98.37019019,35.28539068,231.9041644
73010,55.5,2.5,0.29,0.37,0.12,0.64,0.36,87.1534,55.18999863,37.59000015,-97.67196851,35.09984277,261.837507
73011,62.5,3,0.28,0.51,0.06,0.3,0.26,57.5834,47.99000168,24.98999977,-97.74497276,34.84375003,251.6931623
73012,58.5,3,0.32,0.16,0.14,0.03,0.08,58.7583,17.26000023,34.88000107,-97.59314831,35.66814861,283.0350174
73013,38.4983143,1.951047028,0.194531621,0.292935581,0.33252599,0.262095056,0.195297441,67.91965146,31.97601389,34.88000107,-97.49610586,35.62150952,286.2618685
73014,65.923573,3.501577936,0.423164013,0.682423553,0.15062421,0.780275461,0.570391711,81.95503192,71.78660864,57.33000183,-98.14094333,35.58148496,253.4767154
73015,91.44051505,8.242473703,0.601786206,0.622971402,0.513951675,0.666340419,0.63259061,66.64891041,73.64074397,16.77808714,-98.59017128,35.07629822,214.0507634
73016,45.89677945,1.68436765,0.143773297,0.222740605,0.12868011,0.176886648,0.10868011,78.77528014,22.3009775,50.74214857,-97.6883179,35.79777364,282.9725934
73017,81.07011562,6.095019271,0.462580485,0.399524517,0.239049034,0.631545319,0.47329371,79.0162317,65.70895258,30.30431421,-98.0954445,34.92647558,235.0908911
73018,88.08882165,7.82205029,0.656861591,0.431281481,0.407246179,0.827229676,0.67629906,81.22271789,72.96058245,37.59000015,-97.93839586,35.04839835,246.5523577
73019,16.24590412,1.492866865,0.650857778,0.022734603,0.323592381,0.382886139,0.285701376,71.49793235,39.22924634,51.06000137,-97.4421138,35.20680791,276.6796581
73020,54.92489464,2.699224331,0.187174492,0.389177056,0.208539865,0.323607229,0.217606576,63.06990027,38.50195345,39.63346587,-97.26188483,35.45586244,292.9350202
73021,82.5,6.785816414,0.405730626,0.508681727,0.347220475,0.399942808,0.400028596,51.55368464,53.39736328,17.91597684,-98.67003507,35.33800557,219.2800258
73022,61.5,2.75,0.42,0.79,0.1,0.91,0.64,88.7837,82.25,57.33000183,-97.99224776,35.61693885,261.8833876
73023,95.5,9.5,0.88,0.48,0.75,0.96,0.9,84.5705,75.34999847,37.59000015,NA,NA,NA
73024,91.48124863,8.452445354,0.578207156,0.61529749,0.700154181,0.855635501,0.73529749,77.30530125,78.79593297,27.43057888,-98.81505604,35.36605776,213.5286079
73026,44.10477997,1.63677417,0.209621179,0.207122271,0.305076055,0.172678675,0.125336972,63.04422472,22.01864239,51.06000137,-97.27909811,35.23433038,285.9210102
73027,50,3.333333333,0.73,0.24,0.72,0.81,0.7,85.6443,71.91000366,43.97000122,-97.24456934,35.97099579,310.4537671
73028,76.51761948,5.585468669,0.403156714,0.687614571,0.215879714,0.691951715,0.533590428,88.8590702,63.97400414,40.15457403,-97.62419608,35.97708146,292.6482606
73029,90.97313156,8.187461396,0.580222905,0.377340507,0.580876249,0.589984627,0.558216756,70.15752498,71.55433388,15.47000027,-98.21016818,34.89999152,228.3751542
73030,80.92526623,6.181910282,0.437402878,0.492081873,0.44053389,0.549200656,0.479641339,77.10408371,65.1521499,23.90842802,-97.18588962,34.47140947,275.6280073
73033,82.5,7,0.44,0.74,0.51,0.28,0.46,50.6826,53.86000061,15.47000027,-98.55508734,35.30697444,223.6498578
73034,34.90650045,1.57696021,0.263593756,0.264574815,0.278856744,0.412082065,0.251575423,65.24004352,38.66737915,34.88000107,-97.42666423,35.69876029,292.240197
