FIPS,National Risk Index - Score - Composite,Social Vulnerability - Score,Community Resilience - Score,Cold Wave - Hazard Type Risk Index Score,Drought - Hazard Type Risk Index Score,Hail - Hazard Type Risk Index Score,Heat Wave - Hazard Type Risk Index Score,Hurricane - Hazard Type Risk Index Score,Ice Storm - Hazard Type Risk Index Score,Landslide - Hazard Type Risk Index Score,Lightning - Hazard Type Risk Index Score,Riverine Flooding - Hazard Type Risk Index Score,Strong Wind - Hazard Type Risk Index Score,Tornado - Hazard Type Risk Index Score,Volcanic Activity - Hazard Type Risk Index Score,Wildfire - Hazard Type Risk Index Score,Winter Weather - Hazard Type Risk Index Score
35001000107,1.0607,17.5,36.72000122,0,0,48.68596299,0,,4.026549972,0,37.82582655,40.10488513,11.6253627,10.54083623,,55.36198449,21.77139324
35001000108,2.8921,59,36.72000122,0,0,51.81348999,0,,5.094129049,0,45.92956397,34.40993198,14.26413928,14.22132902,,40.85644294,21.96760691
35001000109,2.3712,33.5,36.72000122,0,0,50.23307806,0,,4.290874916,0,37.0519885,29.15021643,12.00351995,11.38396042,,28.12514865,20.94253912
35001000110,3.3166,51.25999832,36.72000122,0,0,50.37458974,0,,5.354048577,0,50.13655966,40.65666175,15.59006802,15.18218142,,0,22.60619322
35001000111,1.6339,26.67000008,36.72000122,0,0,51.46268373,0,,4.680019971,0,40.76904648,38.5244732,12.86567093,12.66470057,,0,21.30880464
35001000112,0.7076,27.59000015,36.72000122,0,0,46.28739951,0,,3.376016917,71.85485313,33.03905127,30.68662893,10.09489607,8.846263616,,0,20.73562289
35001000113,1.3806,37.02000046,36.72000122,0,0,46.18513057,0,,4.235072983,0,44.40943939,44.60352947,13.44598773,11.42082481,,0,21.54901774
35001000114,2.2202,60.40000153,36.72000122,0,0,49.22346953,0,,5.036858645,0,48.14805942,36.9880607,15.10250678,14.22489654,,0,22.35289921
35001000115,3.5723,71.43000031,36.72000122,0,0,50.56129002,0,,5.631589768,0,51.82438908,43.30019502,16.24292442,16.07168339,,0,22.92013509
35001000116,0.9311,16.84000015,36.72000122,0,0,47.00922799,0,,3.923756939,0,39.10517489,31.40370071,11.983304,10.36959521,,31.60704942,20.92589069
35001000117,5.4048,57.66999817,36.72000122,0,0,53.65552014,0,,5.126435431,0,37.92764734,34.59187556,13.40079912,14.14878942,,0,21.55258526
35001000118,2.4247,17.29000092,36.72000122,0,0,46.09594254,0,,3.655026579,0,33.70388117,42.54625886,11.33401513,9.698901203,,34.24344765,20.69400181
35001000119,2.4509,10.61999989,36.72000122,0,0,46.57161204,0,,3.025052131,0,24.25970292,40.01807544,8.453836275,7.809304096,,0,19.49888218
35001000120,5.4274,68.33000183,36.72000122,0,0,50.28896922,0,,5.11028224,0,44.5232391,37.79194216,14.91937402,14.35570566,,31.61775199,22.25895448
35001000121,22.8131,86.41000366,36.72000122,0,0,63.59939114,0,,11.59505419,0,70.76665069,29.59377824,21.33377729,28.71141131,,27.31294297,26.80635494
35001000122,25.0987,65.52999878,36.72000122,0,0,63.42815012,0,,9.542130459,0,56.13200767,40.89806403,18.65219046,25.32821196,,0,24.48033107
35001000123,9.731,43.47000122,36.72000122,0,0,57.03158446,0,,7.392287586,0,54.68016291,45.85216192,17.90895686,21.07929411,,31.0957047,23.94995957
35001000124,32.6262,83.47000122,36.72000122,0,0,63.38415069,0,,9.248436077,0,52.50838524,50.97036579,18.17414261,24.69557152,,0,24.14498407
35001000125,1.4603,6.699999809,36.72000122,0,0,53.53541359,0,,5.166084173,80.5314902,42.90608529,36.42439233,13.6374447,14.31884127,,26.8991105,21.76425819
35001000126,1.0477,19.20999908,36.72000122,0,0,46.59301717,0,,3.825369321,0,38.42597029,29.32145745,11.79541455,10.11035533,,0,20.84502688
35001000127,2.0739,38.93000031,36.72000122,0,0,49.31503591,0,,4.544920556,0,41.55725922,42.46182752,13.37106978,12.30200257,,0,21.52166675
35001000128,1.8967,47.20999908,36.72000122,0,0,47.64662512,0,,4.674146084,0,45.20004792,31.20391952,14.36165152,12.87994102,,0,21.99733625
35001000129,2.1572,63.13000107,36.72000122,0,0,50.39242734,0,,6.207230756,0,59.56875898,32.78433145,17.51534034,18.01003663,,29.41778053,23.66693621
35001000203,7.5263,76.37000275,36.72000122,0,0,50.33891452,0,,4.703515522,0,37.03881169,44.04580697,13.49355468,12.8216715,,30.77938448,21.58469296
35001000204,9.3362,62.65000153,36.72000122,0,0,52.92536745,0,,5.586067139,0,42.23287015,44.46677449,15.28088284,15.75893069,,0,22.44684393
35001000205,5.6379,43.24000168,36.72000122,0,0,48.46120915,0,,4.803371612,0,40.73790129,46.38610094,14.52337916,13.34134044,,0,22.06987585
35001000206,2.7577,44.86999893,36.72000122,0,0,47.68705703,0,,4.493524039,0,38.41758505,39.83256433,13.73614613,12.16524759,,25.39004899,21.68577273
35001000207,36.3031,55.34999847,36.72000122,0,0,64.16424868,0,,8.918029898,0,43.23790129,43.31446511,16.86724064,23.9214194,,0,23.33396756
35001000208,27.8421,64.58999634,36.72000122,0,0,59.86181801,0,,6.970836148,0,40.25035937,45.03757789,15.4913666,19.52980069,,0,22.59073396
35001000300,27.2463,33,36.72000122,0,0,62.24135471,0,,9.276337044,0,52.20292286,37.15811254,18.86624174,24.89178519,,36.36731199,24.63373448
35001000401,20.3908,55.45999908,36.72000122,0,0,60.97131713,0,,8.337983494,0,49.58313368,29.34999762,17.92322694,23.04380916,,0,23.98563478
35001000402,15.8243,22.09000015,36.72000122,0,0,57.81762831,0,,6.293870598,0,35.03953043,32.78908814,14.85634781,17.71749988,,36.71455073,22.24944109
35001000501,24.7396,81,36.72000122,0,0,58.64648242,0,,7.016358777,0,40.29587925,46.11972601,16.39751701,19.78547305,,0,23.02597155
35001000503,17.331,59.27000046,36.72000122,0,0,58.46810636,0,,6.994331698,0,40.53785338,33.35632403,16.43319222,19.74979784,,33.13632688,23.04380916
35001000504,18.8936,63.61000061,36.72000122,0,0,53.65076345,0,,4.368703927,0,22.24844274,43.14916996,10.06754507,11.35066356,,0,20.16600866
35001000601,18.7759,61.90999985,36.72000122,0,0,60.26970461,0,,7.951775383,0,48.64758026,46.40631689,17.54388051,22.19236075,,30.41668649,23.71093564
35001000603,18.9209,94.27999878,36.72000122,0,0,59.21490748,0,,9.481923111,0,65.99425012,49.59924844,20.27422347,25.56366836,,0,25.85025924
35001000605,30.4405,99.69999695,36.72000122,0,0,62.74437521,0,,10.33216835,0,62.59103977,53.6531418,20.11011749,26.7492746,,0,25.71350426
35001000704,9.0758,62.97000122,36.72000122,0,0,58.97350521,0,,7.697729742,0,57.48203162,43.2062503,17.69371641,21.70717785,,26.28430766,23.80963706
35001000711,3.1525,55.09000015,36.72000122,0,0,56.6308329,0,,7.129431114,62.5907168,58.02228079,50.78128716,17.52247538,20.32060125,,37.04395186,23.82509632
35001000712,2.1155,69.61000061,36.72000122,0,0,50.02972934,0,,6.283591295,0,60.72352659,43.826999,17.73771584,18.26570899,,35.93326357,23.80488037
35001000713,11.246,90.83000183,36.72000122,0,0,61.60990344,0,,10.73746659,91.33408807,74.05845712,58.60248299,21.07572659,27.57218285,,0,26.55543928
35001000714,19.1481,78.93998718,36.72000122,0,0,65.94206345,0,,11.69050486,92.18733242,66.73933876,29.09194692,20.3634115,28.64362841,,0,25.9608524
35001000715,35.4053,89.78000641,36.72000122,0,0,67.22993864,0,,10.34832154,0,42.75634883,37.50416211,17.0230224,26.37111735,,43.53446226,23.44218237
35001000716,12.7146,87.01000214,36.72000122,0,0,56.99828759,0,,8.045757585,0,59.73766172,35.56699805,18.94234886,22.72273225,,38.75755125,24.69319317
35001000717,2.244,93.37999725,36.72000122,0,0,48.53018123,0,,4.524361949,0,43.97101102,27.93131332,13.55063502,12.23897636,,0,21.6096656
35001000718,14.3248,64.08999634,36.72000122,0,0,61.75617181,0,,9.025228347,0,59.3926689,36.95476383,18.66883889,24.38281882,,0,24.47914189
35001000719,1.0215,18.09000015,36.72000122,0,0,50.76463873,0,,4.552262915,74.97586844,39.61667465,27.00851448,12.72297008,12.22232793,,76.59230367,21.24815678
35001000720,3.0716,9.170000076,36.72000122,0,0,59.00918042,0,,6.71825898,72.54245367,46.76689027,46.50501831,15.44023213,18.98159159,,80.47733435,22.72748894
35001000904,18.8746,96.65000153,36.72000122,0,0,57.54768587,0,,8.716849247,0,57.34427408,47.63235504,19.70460924,24.08552538,,0,25.30680683
35001000905,5.2835,86.00998688,36.72000122,0,0,42.76744518,0,,3.878234309,0,34.59032103,47.37073681,13.44242021,10.45164819,,0,21.53950435
35001000906,75.8312,90.54000092,36.72000122,0,0,69.81995909,0,,13.13841816,0,50.46837566,87.51724302,19.70223089,30.15625743,,71.7321505,25.48280455
35001000907,7.1493,91.68998718,36.72000122,0,0,47.77267754,0,,5.013363094,0,46.30809775,31.39537649,15.43666461,14.20824811,,0,22.5253294
35001000908,18.4512,99.68000031,36.72000122,0,0,55.20263521,0,,8.543569562,0,64.63703881,34.37901346,19.99595681,23.84650145,,0,25.6207487
35001001101,13.8123,12.43999958,36.72000122,0,0,53.89811159,0,,5.715292666,0,38.10852899,47.56695048,15.23093754,16.13352043,,32.76054797,22.42662798
35001001102,10.3672,72.91000366,36.72000122,0,0,51.42938686,0,,5.481805633,39.43633439,39.54959272,34.91176331,15.56866289,15.50682586,,34.31241973,22.59311231
35001001201,31.0481,81.70999908,36.72000122,0,0,57.04823289,0,,7.606684484,0,47.20531864,38.24977406,18.27046568,21.60371974,,35.97369548,24.18779432
35001001202,65.5425,84.40000153,36.72000122,0,0,69.83422918,0,,13.36603131,95.58124292,50.52587446,48.36131856,20.03163202,30.46663178,,49.64086952,25.71707178
35001001300,28.4082,90.31999969,36.72000122,0,0,60.29824478,0,,8.929777673,80.81630221,51.24700527,0,19.17304857,24.301955,,26.42463017,24.85848832
35001001400,15.357,79.50998688,36.72000122,0,0,49.76573277,0,,4.844488825,0,33.55773838,41.20130333,14.28197688,13.47096038,,25.26875327,21.99376873
35001001500,33.2885,90.20999908,36.72000122,0,0,59.01631546,0,,7.421657024,0,41.62074748,36.01412738,17.16929078,20.94848499,,0,23.46834419
35001001701,5.3727,3.660000086,36.72000122,0,0,46.49431575,0,,2.960439367,0,19.39027312,28.72330305,8.181515483,7.60833373,,0,19.38353232
35001001702,7.757,48.16999817,36.72000122,0,0,49.40660229,0,,4.67120914,0,32.84379492,32.34314798,13.77538886,12.7717262,,0,21.71193455
35001001800,82.361,70.67001343,36.72000122,0,0,77.07986491,0,,18.16059209,0,33.46430283,33.21956904,19.35974885,35.23759692,,60.38505446,25.22356467
35001002000,55.1265,87.77999878,36.72000122,0,0,61.72763164,0,,7.928279832,0,40.00958313,36.7704419,16.54616373,21.95095847,,0,23.14488893
35001002100,87.2045,74.08999634,36.72000122,0,0,70.93540408,0,,12.5510294,96.79080021,32.03641591,46.67744851,17.3678828,29.28697141,,0,23.68953051
35001002200,41.9493,74.73000336,36.72000122,0,0,61.34352852,0,,8.500983876,0,41.92501198,52.61618228,18.01479332,23.36488608,,0,24.07363364
35001002301,3.4914,78.82998657,36.72000122,0,0,45.77486562,0,,4.054450938,86.93558958,29.18543364,27.57218285,12.95604814,10.81672454,,29.13118965,21.33020977
35001002302,11.8798,84.83000183,36.72000122,0,0,53.3130381,0,,6.622808306,93.58398379,42.57546718,70.61908386,17.58312325,19.08742805,,35.71683394,24.10217381
